Date,Open,High,Low,Close,Volume
16/05/2024 16:00:00,190.47,191.1,189.66,189.84,52845230
17/05/2024 16:00:00,189.51,190.81,189.18,189.87,41282925
20/05/2024 16:00:00,189.35,191.92,189.01,191.04,44361275
21/05/2024 16:00:00,191.09,192.73,190.92,192.35,42309401
22/05/2024 16:00:00,192.27,192.82,190.27,190.9,34648547
23/05/2024 16:00:00,190.98,191,186.63,186.88,51005924
24/05/2024 16:00:00,188.82,190.58,188.04,189.98,36326975
28/05/2024 16:00:00,191.51,193,189.1,189.99,52280051
29/05/2024 16:00:00,189.61,192.25,189.51,190.29,53068016
30/05/2024 16:00:00,190.76,192.18,190.63,191.29,49947941
31/05/2024 16:00:00,191.44,192.57,189.91,192.25,75158277
03/06/2024 16:00:00,192.9,194.99,192.52,194.03,50080539
04/06/2024 16:00:00,194.64,195.32,193.03,194.35,47471445
05/06/2024 16:00:00,195.4,196.9,194.87,195.87,54156785
06/06/2024 16:00:00,195.69,196.5,194.17,194.48,41181753
07/06/2024 16:00:00,194.65,196.94,194.14,196.89,53103912
10/06/2024 16:00:00,196.9,197.3,192.15,193.12,97262077
11/06/2024 16:00:00,193.65,207.16,193.63,207.15,172373296
12/06/2024 16:00:00,207.37,220.2,206.9,213.07,198134293
13/06/2024 16:00:00,214.74,216.75,211.6,214.24,97862729
14/06/2024 16:00:00,213.85,215.17,211.3,212.49,70122748
